token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB054	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=1.08|End=1.7	_	_	_	_
1-0	PSB054	1	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=2.249|End=2.631	_	_	_	_
2-0	PSB133	2	0	dimmi	dimmi	_	_	_	_	_	linguistic	_	none	_	Begin=2.655|End=2.927	_	_	_	_
3-0	PSB054	3	0	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=2.927	_	_	_	_
3-1	PSB054	3	1	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB054	3	2	stavi	stavi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB054	3	3	dicendo	dicendo	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
3-4	PSB054	3	4	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
3-5	PSB054	3	5	che	che	_	_	_	_	_	linguistic	_	none	_	End=4.599	_	_	_	_
4-0	PSB133	4	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=5.499	_	_	_	_
4-1	PSB133	4	1	dicevo	dicevo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB133	4	2	c~	c~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
4-3	PSB133	4	3	ecco	ecco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB133	4	4	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB133	4	5	[se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
4-6	PSB133	4	6	riprendo	riprendo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(0)
4-7	PSB133	4	7	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
4-8	PSB133	4	8	filo]	filo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(0)
4-9	PSB133	4	9	del	del	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	PSB133	4	10	discorso	discorso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-11	PSB133	4	11	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-12	PSB133	4	12	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-13	PSB133	4	13	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-14	PSB133	4	14	perso	perso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
